"script","status","error","start_time","end_time","elapsed_seconds"
"/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data/____Archive/Stephan_temp_table/split_Stephan_primates.R","FAILED","
Attaching package: ‘dplyr’

The following objects are masked from ‘package:stats’:

    filter, lag

The following objects are masked from ‘package:base’:

    intersect, setdiff, setequal, union

Error: `path` does not exist: ‘Stephan_primates.xlsx’
Execution halted","2026-06-26 12:09:13.844409","2026-06-26 12:09:14.549092",0.704683065414429
"/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data/__edit_all_directories.R","FAILED","Error: attempt to use zero-length variable name
Execution halted","2026-06-26 12:09:21.455936","2026-06-26 12:09:21.917747",0.461811065673828
"/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data/__imputing_cellcounts/cellcounts_imputations_diagnostic.R","FAILED","|-------------------------------------|
| misty 0.8.2 (2026-05-16)            |
| Miscellaneous Functions T. Yanagida |
|-------------------------------------|
Loading required package: mice

Attaching package: ‘mice’

The following object is masked from ‘package:stats’:

    filter

The following objects are masked from ‘package:base’:

    cbind, rbind

Loading required package: psych
Loading required package: tidyverse
── Attaching core tidyverse packages ──────────────────────── tidyverse 2.0.0 ──
✔ dplyr     1.2.1     ✔ readr     2.2.0
✔ forcats   1.0.1     ✔ stringr   1.6.0
✔ ggplot2   4.0.3     ✔ tibble    3.3.1
✔ lubridate 1.9.5     ✔ tidyr     1.3.2
✔ purrr     1.2.2     
── Conflicts ────────────────────────────────────────── tidyverse_conflicts() ──
✖ ggplot2::%+%()   masks psych::%+%()
✖ ggplot2::alpha() masks psych::alpha()
✖ dplyr::filter()  masks mice::filter(), stats::filter()
✖ dplyr::lag()     masks stats::lag()
ℹ Use the conflicted package (<http://conflicted.r-lib.org/>) to force all conflicts to become errors
Warning message:
In cor(x = list(Body_Mass.g = c(79, 25000, 925, NA, 907.82, 16.2,  :
  the standard deviation is zero
Error in stats::nlm(lf, startvals, ...) : 
  non-finite value supplied by 'nlm'
Calls: na.test -> .LittleMCAR
Execution halted","2026-06-26 12:09:25.560106","2026-06-26 12:09:29.749537",4.18943095207214
"/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data/__merging_cellcounts/Archive/archive_split_by_reference.R","FAILED","Error in setwd(""~/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data/__Alt_merging_cellcounts"") : 
  cannot change working directory
Execution halted","2026-06-26 12:09:29.760751","2026-06-26 12:09:30.560724",0.799973011016846
"/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data/__merging_volumes/_audit_missing_structures.R","FAILED","── Attaching core tidyverse packages ──────────────────────── tidyverse 2.0.0 ──
✔ dplyr     1.2.1     ✔ readr     2.2.0
✔ forcats   1.0.1     ✔ stringr   1.6.0
✔ ggplot2   4.0.3     ✔ tibble    3.3.1
✔ lubridate 1.9.5     ✔ tidyr     1.3.2
✔ purrr     1.2.2     
── Conflicts ────────────────────────────────────────── tidyverse_conflicts() ──
✖ dplyr::filter() masks stats::filter()
✖ dplyr::lag()    masks stats::lag()
ℹ Use the conflicted package (<http://conflicted.r-lib.org/>) to force all conflicts to become errors
Error in `arrange()`:
ℹ In argument: `..1 = item`.
Caused by error:
! object 'item' not found
Backtrace:
     ▆
  1. ├─bind_rows(audit) %>% arrange(item, desc(mapped), code)
  2. ├─dplyr::arrange(., item, desc(mapped), code)
  3. ├─dplyr:::arrange.data.frame(., item, desc(mapped), code)
  4. │ └─dplyr:::arrange_rows(.data, dots = dots, locale = .locale)
  5. │   ├─dplyr::mutate(data, `:=`(""{name}"", !!dot), .keep = ""none"")
  6. │   └─dplyr:::mutate.data.frame(data, `:=`(""{name}"", !!dot), .keep = ""none"")
  7. │     └─dplyr:::mutate_cols(.data, dplyr_quosures(...), by)
  8. │       ├─base::withCallingHandlers(...)
  9. │       └─dplyr:::mutate_col(dots[[i]], data, mask, new_columns)
 10. │         └─mask$eval_all_mutate(quo)
 11. │           └─dplyr (local) eval()
 12. └─base::.handleSimpleError(`<fn>`, ""object 'item' not found"", base::quote(NULL))
 13.   └─dplyr (local) h(simpleError(msg, call))
 14.     └─rlang::abort(message, class = error_class, parent = parent, call = error_call)
Execution halted","2026-06-26 12:09:35.351766","2026-06-26 12:09:36.482054",1.13028788566589
"/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data/__merging_volumes/crosspub_value_match.R","FAILED","Error:
! 'volumes_unfiltered.csv' does not exist in current working directory:
  '/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data'.
Backtrace:
     ▆
  1. ├─... %>% filter(!is.na(Value))
  2. ├─dplyr::filter(., !is.na(Value))
  3. ├─dplyr::transmute(...)
  4. ├─readr::read_csv(""volumes_unfiltered.csv"", show_col_types = FALSE)
  5. │ └─vroom::vroom(...)
  6. │   └─vroom:::vroom_(...)
  7. └─vroom (local) `<fn>`(""volumes_unfiltered.csv"")
  8.   └─vroom:::check_path(path)
  9.     └─cli::cli_abort(msg, call = call)
 10.       └─rlang::abort(...)
Execution halted","2026-06-26 12:09:36.492751","2026-06-26 12:09:37.438479",0.945728063583374
"/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data/__merging_volumes/volumes_compiled.R","FAILED","── Attaching core tidyverse packages ──────────────────────── tidyverse 2.0.0 ──
✔ dplyr     1.2.1     ✔ readr     2.2.0
✔ forcats   1.0.1     ✔ stringr   1.6.0
✔ ggplot2   4.0.3     ✔ tibble    3.3.1
✔ lubridate 1.9.5     ✔ tidyr     1.3.2
✔ purrr     1.2.2     
── Conflicts ────────────────────────────────────────── tidyverse_conflicts() ──
✖ dplyr::filter() masks stats::filter()
✖ dplyr::lag()    masks stats::lag()
ℹ Use the conflicted package (<http://conflicted.r-lib.org/>) to force all conflicts to become errors
Laterality guard OK: 20 one-side column(s) correctly suffixed.
Error in `bind_rows()`:
! Can't combine `..1$Species` <character> and `..30$Species` <double>.
Backtrace:
     ▆
  1. ├─dplyr::bind_rows(...)
  2. │ └─vctrs::vec_rbind(!!!dots, .names_to = .id, .error_call = current_env())
  3. └─vctrs (local) `<fn>`() at vctrs/R/bind.R:194:3
  4.   └─vctrs::vec_default_ptype2(...)
  5.     ├─base::withRestarts(...) at vctrs/R/type2.R:178:3
  6.     │ └─base (local) withOneRestart(expr, restarts[[1L]])
  7.     │   └─base (local) doWithOneRestart(return(expr), restart)
  8.     └─vctrs::stop_incompatible_type(...) at vctrs/R/type2.R:178:3
  9.       └─vctrs:::stop_incompatible(...) at vctrs/R/conditions.R:146:3
 10.         └─vctrs:::stop_vctrs(...) at vctrs/R/conditions.R:95:3
 11.           └─rlang::abort(message, class = c(class, ""vctrs_error""), ..., call = call) at vctrs/R/conditions.R:65:3
Execution halted","2026-06-26 12:09:39.153908","2026-06-26 12:09:41.597483",2.44357490539551
"/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data/_checks/check_Zilles_Rehkamper_1988_provenance.R","FAILED","Error in `arrange()`:
ℹ In argument: `..1 = !(predates_1988 & pongo_paper_data_cols > 0)`.
Caused by error:
! object 'predates_1988' not found
Backtrace:
     ▆
  1. ├─map_dfr(files, scan_one) %>% ...
  2. ├─dplyr::arrange(...)
  3. ├─dplyr:::arrange.data.frame(., !(predates_1988 & pongo_paper_data_cols > 0), paper_year)
  4. │ └─dplyr:::arrange_rows(.data, dots = dots, locale = .locale)
  5. │   ├─dplyr::mutate(data, `:=`(""{name}"", !!dot), .keep = ""none"")
  6. │   └─dplyr:::mutate.data.frame(data, `:=`(""{name}"", !!dot), .keep = ""none"")
  7. │     └─dplyr:::mutate_cols(.data, dplyr_quosures(...), by)
  8. │       ├─base::withCallingHandlers(...)
  9. │       └─dplyr:::mutate_col(dots[[i]], data, mask, new_columns)
 10. │         └─mask$eval_all_mutate(quo)
 11. │           └─dplyr (local) eval()
 12. └─base::.handleSimpleError(...)
 13.   └─dplyr (local) h(simpleError(msg, call))
 14.     └─rlang::abort(message, class = error_class, parent = parent, call = error_call)
Execution halted","2026-06-26 12:09:41.605231","2026-06-26 12:09:42.421058",0.815826892852783
"/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data/_keys/build_variable_catalog.R","FAILED","Error:
! '../_keys/anatomy_reference.csv' does not exist in current working
  directory:
  '/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data'.
Backtrace:
    ▆
 1. ├─... %>% ...
 2. ├─dplyr::transmute(...)
 3. ├─readr::read_csv(...)
 4. │ └─vroom::vroom(...)
 5. │   └─vroom:::vroom_(...)
 6. └─vroom (local) `<fn>`(""../_keys/anatomy_reference.csv"")
 7.   └─vroom:::check_path(path)
 8.     └─cli::cli_abort(msg, call = call)
 9.       └─rlang::abort(...)
Execution halted","2026-06-26 12:09:42.425029","2026-06-26 12:09:43.727978",1.30294895172119
"/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data/_keys/resolve_taxonomy.R","FAILED","Warning message:
package ‘xml2’ was built under R version 4.6.1 
Error:
! 'species_reference.csv' does not exist in current working directory:
  '/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data'.
Backtrace:
    ▆
 1. ├─readr::read_csv(""species_reference.csv"", show_col_types = FALSE)
 2. │ └─vroom::vroom(...)
 3. │   └─vroom:::vroom_(...)
 4. └─vroom (local) `<fn>`(""species_reference.csv"")
 5.   └─vroom:::check_path(path)
 6.     └─cli::cli_abort(msg, call = call)
 7.       └─rlang::abort(...)
Execution halted","2026-06-26 12:09:43.742653","2026-06-26 12:09:45.166279",1.4236261844635
