"Original_Term","Reference"
"Species","DosSantos_etal_2017_TableS1"
"MBD","DosSantos_etal_2017_TableS1"
"MBR","DosSantos_etal_2017_TableS1"
"MCX","DosSantos_etal_2017_TableS1"
"MHP","DosSantos_etal_2017_TableS1"
"MCB","DosSantos_etal_2017_TableS1"
"MROB","DosSantos_etal_2017_TableS1"
"MD+S","DosSantos_etal_2017_TableS1"
"MMES","DosSantos_etal_2017_TableS1"
"MMES+D+S","DosSantos_etal_2017_TableS1"
"MP+M","DosSantos_etal_2017_TableS1"
"MOB","DosSantos_etal_2017_TableS1"
"NBR","DosSantos_etal_2017_TableS1"
"NCX","DosSantos_etal_2017_TableS1"
"NGM","DosSantos_etal_2017_TableS1"
"NHP","DosSantos_etal_2017_TableS1"
"NCB","DosSantos_etal_2017_TableS1"
"NROB","DosSantos_etal_2017_TableS1"
"ND+S","DosSantos_etal_2017_TableS1"
"NMES","DosSantos_etal_2017_TableS1"
"NMES+D+S","DosSantos_etal_2017_TableS1"
"NP+M","DosSantos_etal_2017_TableS1"
"NOB","DosSantos_etal_2017_TableS1"
"DNCX","DosSantos_etal_2017_TableS1"
"DNGM","DosSantos_etal_2017_TableS1"
"DNHP","DosSantos_etal_2017_TableS1"
"DNCB","DosSantos_etal_2017_TableS1"
"DNROB","DosSantos_etal_2017_TableS1"
"DND + S","DosSantos_etal_2017_TableS1"
"DNMES","DosSantos_etal_2017_TableS1"
"DNMES+D+S","DosSantos_etal_2017_TableS1"
"DNP+M","DosSantos_etal_2017_TableS1"
"DNOB","DosSantos_etal_2017_TableS1"
"O/NBR","DosSantos_etal_2017_TableS1"
"O/NCX","DosSantos_etal_2017_TableS1"
"O/NGM","DosSantos_etal_2017_TableS1"
"O/NHP","DosSantos_etal_2017_TableS1"
"O/NCB","DosSantos_etal_2017_TableS1"
"O/NROB","DosSantos_etal_2017_TableS1"
"O/ND+S","DosSantos_etal_2017_TableS1"
"O/NMES","DosSantos_etal_2017_TableS1"
"O/NMES+D+S","DosSantos_etal_2017_TableS1"
"O/NP+M","DosSantos_etal_2017_TableS1"
"O/NOB","DosSantos_etal_2017_TableS1"
