"Original_Term","Reference"
"Species","HerculanoHouzel_etal_2015_Table1"
"Order","HerculanoHouzel_etal_2015_Table1"
"Cerebral cortex Mass, g","HerculanoHouzel_etal_2015_Table1"
"Cerebral cortex Mass, g SD","HerculanoHouzel_etal_2015_Table1"
"Cerebral cortex N, n","HerculanoHouzel_etal_2015_Table1"
"Cerebral cortex N, n SD","HerculanoHouzel_etal_2015_Table1"
"Cerebral cortex O, n","HerculanoHouzel_etal_2015_Table1"
"Cerebral cortex O, n SD","HerculanoHouzel_etal_2015_Table1"
"Cerebral cortex N/mg","HerculanoHouzel_etal_2015_Table1"
"Cerebral cortex N/mg SD","HerculanoHouzel_etal_2015_Table1"
"Cerebral cortex O/mg","HerculanoHouzel_etal_2015_Table1"
"Cerebral cortex O/mg SD","HerculanoHouzel_etal_2015_Table1"
"Cerebral cortex O/N","HerculanoHouzel_etal_2015_Table1"
"Cerebral cortex O/N SD","HerculanoHouzel_etal_2015_Table1"
"Cerebral cortex Source","HerculanoHouzel_etal_2015_Table1"
