"Original_Term","Reference"
"Species","Kverkova_etal_2018_TableS5"
"Whole brain_N.n","Kverkova_etal_2018_TableS5"
"Whole brain_N.n_SD","Kverkova_etal_2018_TableS5"
"Olfactory bulbs_N.n","Kverkova_etal_2018_TableS5"
"Olfactory bulbs_N.n_SD","Kverkova_etal_2018_TableS5"
"Cortex_N.n","Kverkova_etal_2018_TableS5"
"Cortex_N.n_SD","Kverkova_etal_2018_TableS5"
"Subcortical forebrain_N.n","Kverkova_etal_2018_TableS5"
"Subcortical forebrain_N.n_SD","Kverkova_etal_2018_TableS5"
"Cerebellum_N.n","Kverkova_etal_2018_TableS5"
"Cerebellum_N.n_SD","Kverkova_etal_2018_TableS5"
"Brain stem_N.n","Kverkova_etal_2018_TableS5"
"Brain stem_N.n_SD","Kverkova_etal_2018_TableS5"
